Mod,likes,downloads,time,unique_dl,views
15391,132,3256,1291,2102,39873
16422,23,455,1274,302,9272
60912,9,103,314,92,2409
34557,61,1594,935,1099,17894
19241,25,910,1224,618,9791
7770,63,1507,1364,1013,9481
1028,132,3412,1438,2416,68570
58042,7,102,414,83,4671
55206,5942,97924,494,77392,363174
26891,39,1289,1080,810,18317
37806,1942,69642,851,53396,414559
13140,200,14897,1321,8660,51472
64771,115,963,199,727,5072
30741,263,10037,1002,7244,58438
1882,185,3798,1432,2674,30743
54761,69,1086,507,820,10769
5512,34,1582,1393,1052,20197
37248,32,732,866,548,12410
14888,32,712,1298,520,15001
68435,28,561,89,479,2731
30899,190,3777,1000,2993,51180
10523,29,702,1348,460,14265
59337,55,746,371,582,12093
5773,370,13147,1390,7934,72482
51642,8,227,608,167,7696
38208,287,3540,841,2814,27499
61570,16,184,292,134,5621
54692,242,3075,510,2018,74048
15018,87,2710,1296,1647,29037
20840,403,10103,1197,6562,44178
59174,4777,91603,377,69721,281327
29731,279,6009,1023,3901,63658
16286,23,651,1276,402,14361
62101,68,1494,274,1140,15966
1377,799,79753,1436,51842,227892
59918,39,705,351,571,12621
26603,12,262,1086,177,12741
5393,33,1913,1394,1287,24743
28577,9,91,1045,86,5064
26770,5030,85371,1083,52778,282260
61773,40,427,285,356,48282
67334,6,192,123,144,6115
36174,59,746,895,581,13858
59091,3592,84359,379,59442,165594
35305,4002,82436,916,56932,327351
10408,11,509,1349,308,4343
14316,24,344,1305,298,5240
12089,28,1096,1335,624,9197
20064,15,1006,1210,563,20578
50136,33,360,648,291,4112
23806,2,201,1147,153,16899
772,251,8796,1440,6064,37987
70547,573,13357,17,13279,118555
3885,4,133,1413,96,16937
29720,238,5502,1024,3705,32458
620,6,356,1441,218,46595
36912,4,191,877,152,14603
33995,4162,87458,947,54401,391734
16630,40,1270,1271,712,9177
16557,6,341,1272,222,13827
53148,3588,69654,559,55641,271024
65548,87,1128,178,798,12030
16214,1125,20788,1277,14197,97252
31437,10,228,991,168,5000
55002,13,87,499,66,6269
1034,12,460,1438,301,17758
59742,184,1538,357,1172,16571
20081,98,2220,1209,1597,34980
32751,77,1018,967,719,25965
2121,2075,55976,1430,34632,167043
15,1897,52006,1449,31119,336394
21400,45,1140,1186,795,39830
11184,69,3028,1343,1609,26380
8419,226,8433,1359,5399,37318
593,244,11707,1442,7694,57519
23523,77,4596,1153,2940,54743
47021,154,1857,717,1292,11609
54797,6,93,506,54,7135
33183,49,2105,962,1695,64760
10685,33,1797,1347,1286,14005
12007,28,1466,1336,768,26416
3601,4,100,1417,61,6662
14648,11,564,1300,368,11831
35944,58,1527,901,1186,13058
27541,24,668,1065,410,9295
64597,69,1286,204,1093,14035
285,347,6813,1444,4304,34246
33781,16,294,951,210,5138
3948,42,2051,1413,1455,32407
49424,19,434,666,368,10899
36708,50,555,882,414,9768
53589,540,7134,549,5030,26289
18058,9,789,1245,576,11962
14058,101,2778,1308,1784,23833
19701,175,6298,1216,4413,30394
3463,18,311,1418,215,16766
51334,54,598,617,511,10838
51682,2719,52600,607,42769,357405
61768,117,1746,286,1386,10759
20077,15873,728321,1210,445190,1791593
67979,25,325,103,247,3624
4815,14,696,1401,548,13757
32925,1,114,967,71,4853
50293,5,70,644,60,2747
36317,3443,71623,890,55990,316683
32785,390,14577,970,9787,48684
55438,842,15366,487,11551,149504
30084,32,646,1015,425,12693
52446,63,1033,583,787,21975
7729,242,3980,1364,2700,18512
25219,5,92,1117,77,19233
61133,27,360,306,312,5737
53219,5,84,557,63,4108
23510,15,511,1153,351,13549
17976,130,3335,1246,2182,21808
61023,33,768,310,569,14628
19794,10,505,1215,391,14015
50121,4767,64329,648,48172,355844
64604,49,1529,203,1305,16970
363,180,9736,1444,7372,55455
24861,384,6490,1124,4654,24613
67139,6,100,130,72,9831
15386,1032,32037,1291,17410,206229
10216,958,25035,1350,15490,108171
31635,115,4464,988,3183,38507
24684,2984,146809,1128,96581,454072
5549,3,236,1392,162,28450
32857,72,1114,968,913,18835
50766,1,58,633,48,2700
49493,26,394,665,268,4279
68287,5,31,93,28,2606
3794,6406,181151,1414,113198,399231
4625,15,406,1404,283,15488
29245,20,506,1032,295,7883
46933,32,340,717,240,8366
21138,605,14870,1191,10455,96767
35822,21,438,905,328,13978
69690,20,156,46,137,6145
18294,13,454,1241,334,26606
63633,18,144,233,120,3561
50344,5,77,643,65,2856
49492,65,963,665,735,16051
57042,10,75,442,62,2592
18964,104,2406,1229,1572,27617
49131,178,3624,675,2054,30001
66537,8,76,150,74,2354
36102,35,825,897,641,7899
12482,135,6382,1330,3556,131603
31175,67,1402,995,856,13568
58100,1436,45466,412,35743,111390
64120,21,227,218,179,8899
64473,207,3534,207,2659,25963
15735,102,2831,1285,2089,36617
68180,27,328,97,259,4056
50389,324,4648,641,3673,50677
3186,227,7341,1420,4816,123510
64472,14,243,207,172,8645
50509,4,136,638,109,8086
59381,25,335,369,265,7005
1799,57,1387,1433,1008,13885
29803,361,10518,1021,6236,56727
12833,0,58,1326,23,6834
53629,76,1058,547,942,14959
21026,88,3701,1193,2827,25685
10722,16,768,1347,504,11312
52264,27,455,589,366,14034
9932,35,1251,1352,858,17176
61441,651,8194,296,6573,72746
68246,14,264,95,203,5858
56420,316,6696,460,5595,57156
49925,5,155,653,134,8606
16151,41,1389,1278,939,16555
22656,88,1574,1168,1058,35880
52207,50,530,591,455,6116
65160,4,55,187,39,3965
22587,25,553,1169,372,10252
49587,2,13,662,8,5932
8101,369,13374,1360,8702,44537
52391,900,12849,585,9436,59623
22066,101,2861,1177,1977,36410
70222,158,2469,28,2316,16560
29651,14,533,1025,367,13427
61555,135,1706,293,1436,26320
22382,1429,40785,1172,25421,298616
50642,88,1452,635,1074,19740
54369,27,374,522,306,15708
25985,9,451,1100,283,11573
45641,2020,58778,733,44113,170439
12949,29,1165,1324,663,11976
21520,34,796,1184,608,15528
10477,46,946,1348,626,13179
39388,275,3309,820,2341,25271
27252,9,110,1072,80,8856
10380,712,27112,1349,17456,168176
579,44,853,1442,610,34142
13818,71,1779,1312,1015,7897
54487,85,755,518,616,19353
39983,10414,224834,812,163290,948278
59185,96,940,377,663,8256
3457,236,7670,1418,5224,55144
50604,36,643,636,470,16169
36945,42,1336,876,830,25530
38220,10,300,841,213,6552
68281,9,108,94,76,5074
65062,85,544,188,442,9852
32291,41,1001,978,688,22625
35687,96,1805,908,1338,13939
57919,28,393,418,317,11530
8092,177,4298,1361,2866,32920
62069,9,91,276,77,4946
17523,39,1620,1255,1140,20987
64949,15,168,192,120,14306
65777,807,17183,172,14164,100106
59514,19,327,365,248,6999
44268,21,377,748,282,5472
2094,235,8141,1430,5511,101082
2824,3,302,1424,189,10688
63754,46,2052,230,1680,19735
34523,12,180,936,127,8779
47383,79,2836,711,1996,37424
30615,29,867,1005,487,9537
38136,38,793,843,677,16652
991,7,284,1438,210,23114
67089,2,45,132,37,2659
27460,39,476,1068,440,11368
