Mod,likes,downloads,time,unique_dl,views,dl_dif
7379,82,2844,3330,2184,31572,660
40048,228,4050,1552,2747,37886,1303
43473,129,2801,963,2396,35906,405
13505,25,1117,2960,870,13607,247
23086,11,367,2447,298,9443,69
15987,11,193,2808,165,2236,28
46285,0,13,138,8,805,5
16075,75,4538,2803,3020,33367,1518
23996,29,1419,2403,1101,24443,318
13919,2,109,2927,79,3904,30
18331,2,120,2692,97,2930,23
8843,43,1430,3227,1016,16188,414
29342,7,193,2136,154,2916,39
41008,39,1427,1472,1018,24256,409
34378,0,0,1907,0,8347,0
27393,7,229,2246,183,3836,46
15201,8,258,2843,187,4561,71
11963,34,991,3062,853,10177,138
35568,0,24,1841,19,4661,5
17781,1354,105863,2718,65470,416223,40393
30684,1,93,2067,77,2749,16
16857,71,3147,2763,2294,21064,853
43147,9,243,1058,170,7870,73
37895,15,270,1691,212,3992,58
31930,15,417,2006,308,6617,109
30680,13,908,2067,696,12922,212
23807,51,1144,2413,862,10073,282
7238,16,197,3339,175,9619,22
38561,57,1828,1645,1391,8850,437
22794,2300,118800,2462,81971,621578,36829
10200,46,1693,3153,1194,21161,499
12298,6,343,3044,278,11754,65
10080,496,23434,3158,16937,114336,6497
26393,2,232,2295,189,2388,43
18145,8,244,2700,196,11524,48
29910,3,162,2108,106,3208,56
9978,4,132,3164,98,2957,34
5912,7,85,3399,57,6182,28
39977,4,143,1557,115,6392,28
7861,7,275,3298,218,7326,57
44688,70,691,705,596,8256,95
18246,39,554,2695,435,6617,119
8176,26,891,3270,691,13595,200
2689,22,603,3513,509,13592,94
15451,1,235,2832,204,3818,31
45302,2,25,498,19,1586,6
15607,75,5038,2823,3944,145730,1094
5439,17,333,3423,225,3533,108
41241,90,2779,1441,2264,40093,515
42290,8,213,1261,164,4454,49
45903,2,29,291,25,2733,4
46105,12,145,201,122,1279,23
30411,23,737,2082,608,8784,129
2600,23,4323,3515,3249,24071,1074
32672,38,2051,1971,1384,13263,667
6040,9,506,3393,396,3760,110
37224,0,94,1736,75,5646,19
10794,8,149,3121,130,8695,19
17089,62,1751,2750,1408,21522,343
33797,60,2279,1927,1707,29411,572
24813,29,1734,2366,1345,27810,389
22187,72,3995,2491,2706,24004,1289
18089,15,444,2702,354,4933,90
5040,7,219,3445,165,9986,54
46166,9,87,171,65,923,22
29161,73,2849,2147,2193,17574,656
13162,80,3596,2985,2568,34051,1028
43350,10,377,999,283,7952,94
10144,269,13402,3156,10071,75761,3331
31415,10,857,2033,638,15901,219
29206,11,532,2144,453,4187,79
5977,2918,159305,3395,121518,504407,37787
10334,103,1972,3147,1510,33131,462
29883,4,207,2110,174,4613,33
26622,6,137,2285,125,2930,12
36558,9,176,1777,134,2264,42
25542,1,40,2334,33,3122,7
38741,65,2327,1633,1565,25739,762
6628,14,403,3370,292,17882,111
2812,41,1199,3511,985,16633,214
30546,195,4655,2075,3187,16474,1468
2287,49,1539,3520,1225,21216,314
15382,3,120,2835,97,2524,23
25826,42,1551,2321,1212,9714,339
32953,11,654,1960,496,10141,158
4521,2,82,3468,71,3590,11
27216,9,263,2258,218,4845,45
1049,4,199,3815,166,5536,33
3328,5,125,3502,105,4197,20
45954,65,619,262,482,5947,137
31300,7,289,2039,224,6898,65
5826,9,187,3403,154,2564,33
34174,1,60,1915,48,2360,12
27531,24,1194,2237,991,22886,203
41411,50,1313,1415,1026,11206,287
33891,19,330,1924,287,5115,43
16112,6,452,2801,349,5708,103
46031,0,9,231,6,864,3
4064,6,175,3484,134,5316,41
4287,3,84,3476,68,2539,16
33477,2,54,1939,41,4065,13
45408,94,2072,468,1716,12693,356
31972,6,202,2004,152,5347,50
2149,41,1272,3522,1039,15406,233
11506,7,265,3084,213,9420,52
41765,90,1747,1359,1373,27153,374
30705,12,470,2066,362,10388,108
9796,7,506,3172,395,15275,111
11357,49,126412,3092,40194,19510,86218
16415,36,1372,2786,1031,10988,341
8754,6,393,3233,327,7173,66
19721,3,150,2629,124,5456,26
20382,392,19565,2594,14465,110001,5100
26437,4,170,2293,123,7410,47
20684,45,1678,2578,1242,18299,436
8313,21,668,3261,497,14328,171
39886,96,2039,1564,1515,13343,524
18106,6,289,2702,232,9003,57
24277,50,984,2390,730,10363,254
19051,0,41,2662,33,6902,8
42470,3,81,1225,64,3916,17
39669,11,620,1577,453,9583,167
28147,21,1185,2203,898,14112,287
22368,13324,980647,2482,672276,2131306,308371
6589,5,282,3371,232,7845,50
4097,7,145,3483,111,4606,34
19033,44,4147,2663,2981,39824,1166
21962,4,135,2502,94,10400,41
1682,0,36,3565,34,1634,2
7704,39,1156,3311,884,17769,272
20056,33,715,2611,551,6691,164
24884,17,311,2363,241,4140,70
11797,0,45,3069,37,2120,8
42858,20,550,1141,393,11665,157
27067,1,159,2266,125,2240,34
23939,16,600,2405,508,7084,92
42206,16,266,1278,211,10425,55
36501,28,866,1780,742,17346,124
14309,1,75,2900,62,2596,13
