Mod,likes,downloads,time,unique_dl,views,dl_dif
120,352,4408,2324,3397,60782,1011
4133,373,3889,672,2881,27452,1008
1814,9,224,1999,166,8820,58
327,29,377,2303,201,64381,176
3233,38,660,1623,437,26220,223
179,1050,15269,2319,9561,127467,5708
3146,163,2819,1653,1570,24914,1249
4024,49,328,799,242,7370,86
677,54,2705,2256,1638,42607,1067
1882,826,21256,1976,12648,186598,8608
1126,333,15195,2171,8876,144325,6319
669,33,2215,2258,1495,64890,720
37,10,146,2329,87,46608,59
317,578,8657,2304,5664,143521,2993
4375,16,259,180,179,9256,80
259,2391,42745,2310,24287,382802,18458
1554,559,16817,2067,7727,94243,9090
1986,17,507,1919,359,16764,148
150,2,28,2323,19,25664,9
3939,26,239,899,184,9771,55
869,5,386,2210,228,30112,158
922,101,2678,2201,2011,52215,667
1943,35,802,1945,377,17445,425
1406,633,27393,2101,10823,143811,16570
4273,4,151,441,90,3669,61
1227,105,3833,2149,2624,72364,1209
2870,280,7612,1771,4693,73687,2919
2102,75,2216,1870,1348,29359,868
1334,32,1007,2127,678,56197,329
1056,46,1090,2183,762,11950,328
1725,14,805,2019,555,19627,250
3996,163,5841,860,1206,61720,4635
4214,88,860,541,606,11919,254
202,10114,256388,2317,105349,943525,151039
3674,797,20520,1164,7045,114039,13475
3836,77,822,971,644,14852,178
3427,124,1963,1454,1352,29938,611
142,3,8,2323,7,14913,1
61,1544,21512,2327,14545,154773,6967
4255,29,1378,481,456,14740,922
458,202,5428,2290,3316,28585,2112
3625,67,1787,1230,1152,21822,635
4285,22,385,424,242,5970,143
2920,23,842,1753,419,22394,423
4271,59,1303,446,721,7200,582
1805,34,773,2000,449,10837,324
722,505,10709,2248,7455,43276,3254
1062,46,879,2183,664,17005,215
289,150,1694,2308,1006,40960,688
1477,758,16102,2087,10452,96653,5650
651,974,27070,2260,17273,106320,9797
3316,799,30661,1571,12880,231740,17781
3483,178,3309,1407,2089,21443,1220
1609,11,413,2052,258,26857,155
1828,128,4161,1995,2326,74126,1835
1737,529,18775,2015,5145,71154,13630
3602,17,427,1277,240,14841,187
600,316,14052,2267,6380,100621,7672
581,508,18041,2269,8912,74467,9129
3597,405,6378,1288,3617,46181,2761
3436,213,6070,1449,3962,64740,2108
740,626,30135,2244,16232,205440,13903
1496,24,680,2082,459,11765,221
2120,298,6937,1861,4851,58010,2086
95,1245,13861,2325,9194,178242,4667
3858,165,1922,955,1220,20397,702
4111,41,260,697,183,5324,77
1895,49,3587,1971,870,49717,2717
1211,75,4101,2152,2739,39004,1362
2099,143,2521,1870,1669,33986,852
1124,133,3046,2171,2129,40596,917
321,9,129,2304,113,64082,16
3804,929,13073,1012,7408,68299,5665
3456,420,7157,1440,4987,67732,2170
2066,38,1662,1887,902,20359,760
1206,14,323,2154,245,13397,78
400,98,1380,2296,803,36794,577
192,527,5381,2318,4152,125543,1229
3697,82,1365,1130,780,22626,585
734,761,32763,2246,14363,155745,18400
88,27,549,2326,315,70459,234
1593,22,514,2056,348,7792,166
3969,872,17735,877,9097,77277,8638
284,24,668,2308,376,105604,292
1629,62,2477,2043,1406,75803,1071
593,191,4215,2268,3056,36029,1159
2020,86,3354,1910,2112,38280,1242
1402,702,27392,2102,14876,135437,12516
884,157,3320,2207,1539,26086,1781
1688,106,2077,2025,1489,20967,588
3380,825,12422,1489,7090,54624,5332
4151,171,3117,641,2162,53042,955
69,4324,57266,2327,39258,503647,18008
1654,439,18505,2034,10170,134768,8335
3306,503,7507,1578,4872,39544,2635
3864,72,1165,953,734,33006,431
301,10160,177598,2306,103214,895206,74384
2018,7,464,1911,315,22798,149
3795,85,1000,1020,686,21619,314
690,128,8388,2254,6315,81377,2073
777,1579,54530,2233,30746,359017,23784
4397,12,120,95,110,2582,10
4252,285,18587,483,2332,44994,16255
1127,89,1764,2171,1273,30161,491
