Mod,likes,downloads,time,unique_dl,views,dl_dif
10216,958,25035,1373,15490,108171,9545
54693,13,162,533,126,19861,36
60368,75,842,358,689,5312,153
14679,15,736,1323,557,15140,179
53955,25,242,560,195,7567,47
67429,174,3333,144,2775,32775,558
52911,437,4891,589,3744,24939,1147
56132,18,351,491,226,9154,125
10711,53,1765,1370,1174,36645,591
44069,59,953,774,800,27675,153
67802,11,202,131,145,3838,57
9474,36,1213,1378,760,10225,453
62806,57,886,277,611,10754,275
12346,62,936,1355,526,9713,410
23214,20,426,1181,317,13605,109
67290,15,366,148,328,4778,38
11884,90,1758,1360,1111,11009,647
1670,30,950,1457,679,22564,271
59896,53,619,375,506,8083,113
20579,15,807,1224,610,16468,197
66999,7,178,157,119,4087,59
8644,96,3139,1381,1966,42255,1173
36085,107,2491,921,1837,11679,654
17019,6,190,1287,136,10154,54
35663,134,3737,931,2728,23460,1009
5932,2396,41263,1411,29138,224456,12125
57225,92,1285,461,1138,28795,147
1289,66,2660,1459,1830,34723,830
64972,2,20,214,16,1796,4
57841,1035,13464,443,11228,90837,2236
20875,41,1563,1219,1086,18249,477
46631,2,85,744,64,3886,21
65300,64,1365,207,1116,11498,249
5073,20,508,1421,370,9307,138
30961,6,304,1021,195,10818,109
31498,23,657,1013,391,9382,266
13424,90,4079,1341,2481,88626,1598
21179,2,220,1213,152,6965,68
66979,56,659,158,575,11971,84
39146,29,736,845,576,12689,160
48370,12,613,722,375,9594,238
68859,16,244,96,212,3636,32
30623,76,2567,1028,1509,19203,1058
54677,89,542,533,476,6474,66
8430,550,10225,1382,6305,40256,3920
32877,489,9279,991,7555,42357,1724
63864,15,344,249,280,7329,64
66683,18,157,168,122,3945,35
9745,186,4040,1376,2550,24863,1490
21666,2233,78697,1205,44956,251334,33741
23383,78,1364,1178,938,17205,426
52657,62,759,598,630,26810,129
5741,11,418,1413,289,5338,129
16619,2193,65892,1294,43306,221126,22586
5557,154,2476,1415,1515,34919,961
55502,244,4177,509,3003,26506,1174
40693,25,441,824,389,18004,52
29951,41,926,1041,605,12760,321
11822,5,279,1361,149,6969,130
34211,181,2551,965,1909,16543,642
39770,269,6417,838,5213,44858,1204
9257,38,1103,1379,725,13702,378
62935,7,61,274,51,1985,10
63857,38,416,250,341,7143,75
64499,10,84,230,57,2529,27
19450,10,402,1244,273,10977,129
56135,25,335,491,290,13429,45
45897,22,315,753,282,21720,33
5532,2,52,1415,29,4767,23
16335,38,1663,1299,1079,27813,584
40196,13,559,831,444,8851,115
33775,1118,25244,974,16571,159629,8673
67718,18,241,135,193,2537,48
9469,50,604,1378,496,6895,108
6828,118,5547,1400,2964,32868,2583
16158,12,316,1301,226,7824,90
51139,6,97,645,76,2629,21
8876,5,142,1380,91,5054,51
28031,53,1145,1078,783,16909,362
13333,3,192,1342,128,11145,64
14528,38,928,1324,711,11443,217
38191,234,6159,864,4419,35385,1740
62834,158,1451,276,1248,12751,203
36976,54,519,898,391,9564,128
5607,65,2882,1415,2112,33770,770
59595,59,724,385,598,14475,126
26412,540,31704,1114,19486,145989,12218
38312,142,1806,862,1391,19918,415
61300,1863,28776,316,22377,149303,6399
15560,10,483,1311,341,13081,142
33528,17,263,979,184,8506,79
66471,33,509,175,372,12897,137
25753,52,1377,1128,896,13283,481
18959,67,1169,1253,772,26724,397
51503,4,75,635,61,8054,14
23086,172,3941,1183,2946,30997,995
15987,61,1783,1304,1358,18004,425
23401,83,2451,1178,1363,58957,1088
59912,738,21710,374,17881,108807,3829
53661,19,264,569,222,7380,42
24159,112,2431,1163,1527,19922,904
17177,410,10485,1285,6937,87642,3548
18350,141,3946,1263,2826,42053,1120
68127,108,2807,122,2124,19217,683
42572,32,852,794,648,17960,204
45159,28,329,761,255,7771,74
14174,43,1254,1330,822,9182,432
54073,248,3055,555,2505,63744,550
35593,13,214,932,170,4651,44
30566,70,2526,1029,1336,14995,1190
19055,184,3016,1251,2032,17622,984
1334,74169,1798360,1459,1336876,4247395,461484
41008,61,1188,818,965,27622,223
22822,30,905,1188,727,28020,178
22301,7,103,1197,78,33620,25
11963,2265,81405,1359,44699,402062,36706
66807,1,29,164,22,2198,7
14145,31,757,1330,537,12987,220
35568,165,4104,933,3329,18226,775
66706,874,28709,167,22819,99366,5890
6474,15,454,1404,332,12337,122
30684,2135,68975,1027,44712,211157,24263
12561,198,3877,1352,2389,24435,1488
29307,132,4999,1054,4047,26622,952
16857,240,11473,1290,7897,76903,3576
43147,45,1138,784,921,16793,217
51498,4,31,635,26,3987,5
37895,112,2006,873,1428,16662,578
61338,15,219,322,154,11585,65
30448,13,254,1031,155,7499,99
38561,22,430,854,328,13566,102
5720,121,5660,1413,3452,59496,2208
16392,285,5617,1297,3687,64797,1930
22794,16,784,1188,565,15108,219
35045,210,3333,946,2323,19333,1010
58523,342,5337,420,3901,70255,1436
36286,6895,108436,915,80324,400429,28112
12298,327,8793,1356,6011,33162,2782
49969,310,4943,675,3680,24656,1263
64908,38,519,217,412,12842,107
34679,728,20517,955,14645,105349,5872
66796,732,10068,164,8011,31556,2057
58166,2727,39871,433,31734,238043,8137
29910,42,680,1042,398,7076,282
30847,9,255,1023,159,6697,96
9978,43,2300,1375,1405,22957,895
59762,35,236,379,203,5196,33
5912,18,451,1411,318,24520,133
49596,5,120,685,77,11050,43
7005,35,1089,1397,730,17123,359
4917,6,369,1423,255,18086,114
28894,34,1167,1062,734,10185,433
53573,60,1111,572,818,15456,293
8176,58,2050,1383,1367,37591,683
15451,80,1156,1313,729,7137,427
58074,139,1613,436,1248,21079,365
6195,9,955,1408,607,10041,348
15607,9,238,1310,189,7153,49
3060,101,2046,1445,1490,22384,556
5439,58,2101,1416,1485,58833,616
9412,9,348,1378,211,7740,137
18336,469,9594,1264,5796,39391,3798
53933,16,171,561,125,14360,46
50460,520,7535,662,5857,66986,1678
23560,603,13099,1175,8894,35487,4205
50820,45,688,654,560,7386,128
30411,24329,670765,1032,429021,1226301,241744
2600,167,3563,1449,2455,26703,1108
32672,2,98,995,57,3374,41
25104,72,1611,1142,1146,22173,465
64385,62,1809,233,1382,15063,427
6040,233,7733,1409,5870,85655,1863
12816,6,596,1349,260,5665,336
67550,13,169,140,147,4844,22
68280,0,4,117,4,1534,0
9343,205,4003,1378,2643,23059,1360
30588,42,699,1029,440,6166,259
33797,22,419,974,347,4662,72
65799,11,123,195,95,1834,28
30622,55,1632,1028,1138,13942,494
22187,8,394,1198,263,8406,131
60868,2378,49240,337,36891,187435,12349
47315,1404,12924,735,10567,78991,2357
46166,56,1102,750,866,11517,236
46147,4,66,751,52,4015,14
4798,12,473,1425,357,12391,116
13162,71,2187,1344,1152,25391,1035
38668,71,527,852,425,5987,102
31541,68,1714,1013,1148,19144,566
64421,2,18,232,9,2446,9
24276,90,3627,1161,2667,42195,960
1989,118,3289,1454,2284,45417,1005
12332,24,2796,1355,1386,30182,1410
10144,576,24710,1374,16253,126847,8457
31415,35,939,1015,607,14958,332
30626,123,2124,1028,1590,27395,534
26307,56,1551,1116,931,16508,620
999,32,878,1461,649,30414,229
5977,151,5937,1410,4325,78353,1612
10334,10,521,1372,368,8749,153
59503,53,684,388,550,10840,134
25146,548,14292,1141,11824,63076,2468
35405,216,3709,937,2251,29996,1458
29883,17,888,1043,606,28706,282
26622,5,205,1109,165,9380,40
32294,115,3156,1001,2063,19747,1093
60744,7,99,344,73,2408,26
44252,39,675,771,497,9401,178
6628,801,20793,1402,13849,113653,6944
62759,6,49,278,35,2490,14
2812,58878,2647433,1447,1326640,6785823,1320793
50349,1368,23772,666,19091,79206,4681
23925,11,456,1168,324,15715,132
47162,75,2881,737,2021,27970,860
30546,207,5025,1029,3145,58264,1880
33227,1384,40497,984,22370,159462,18127
25826,8,590,1127,357,24803,233
65949,127,2661,191,2253,40566,408
35376,18,334,929,257,12257,77
54853,37,478,526,317,9620,161
50395,189,2639,664,1923,33442,716
26945,55,1079,1102,827,14794,252
7765,19,966,1387,603,19329,363
49353,2,39,691,28,3436,11
27216,137,1944,1096,1215,14841,729
48574,57,871,715,711,15847,160
1049,43,1755,1461,1185,24349,570
16069,2974,293926,1302,193736,610153,100190
52180,9,120,615,84,2669,36
1642,1,167,1457,135,14720,32
20437,117,6509,1227,4458,53437,2051
27531,8065,135058,1089,82633,347547,52425
21661,634,14187,1205,9203,41652,4984
41411,712,15901,813,10528,49583,5373
37181,570,15149,891,12485,33954,2664
66643,24,417,170,360,7037,57
53996,56432,1158374,558,615291,3208444,543083
45717,3,86,755,60,4647,26
54794,14,162,529,115,7951,47
23218,12,540,1181,378,6057,162
58771,51,1599,412,1146,28981,453
58890,11,140,409,118,3550,22
21635,0,36,1205,27,2699,9
65248,21,112,208,89,5798,23
2836,4391,208662,1447,134414,270855,74248
8606,16,938,1381,596,14418,342
32245,225,3294,1002,2447,30924,847
17120,305,8405,1286,6106,59485,2299
11016,81,2609,1367,1669,33727,940
22804,7,360,1188,228,10303,132
5379,241,11066,1417,7815,80049,3251
42758,102,1898,788,1565,33439,333
54172,1975,53618,552,38890,157523,14728
2149,23,668,1453,458,17556,210
11506,92,4349,1364,2501,38191,1848
30705,137,4631,1026,2891,27696,1740
210,1184,36752,1469,17351,74809,19401
50497,8,116,662,81,15209,35
66267,60,1411,181,908,42551,503
47358,35,240,735,192,6778,48
13885,86,1776,1334,1143,13359,633
16415,52,906,1297,659,13162,247
48077,5232,123578,726,91478,562538,32100
54636,35,251,535,203,7538,48
37236,89,1121,890,869,10677,252
20382,123,5843,1228,3864,55993,1979
48457,99,1060,720,805,12549,255
26437,2294,69030,1113,42195,330515,26835
51780,406,3996,627,2854,18963,1142
17974,89,4033,1269,2898,34978,1135
7099,14,526,1396,312,12490,214
18106,799,19885,1267,13959,88843,5926
4346,337,20855,1431,12445,102067,8410
55065,443,5274,520,4176,32603,1098
24277,8,134,1161,120,19359,14
1650,47,1316,1457,905,17599,411
59614,150,1426,385,1158,11826,268
19051,63,1884,1251,1410,28959,474
14563,61,1962,1324,1311,14831,651
53790,258,7263,565,6406,85512,857
28147,6641,260984,1076,180043,794168,80941
22368,5245,144040,1196,100297,559494,43743
35052,11,178,946,120,6276,58
50661,441,8154,658,6273,69571,1881
6589,47,974,1402,669,10463,305
7059,11022,352937,1396,199396,1210439,153541
11435,97,2050,1364,1330,11713,720
19033,810,13009,1251,9195,54691,3814
21962,426,5217,1201,3070,24896,2147
26349,69,1848,1115,1098,19367,750
21389,105,1082,1209,850,10972,232
7704,6,353,1388,219,3930,134
20056,317,1700,1233,1071,14022,629
24836,36,1014,1148,730,9248,284
3168,27,368,1444,258,5713,110
55552,401,6081,507,4937,41050,1144
4273,86,8751,1432,4880,38042,3871
24884,39,724,1146,474,13279,250
39603,12,405,840,313,6379,92
61528,15,186,317,152,7310,34
2068,1910,46583,1453,29180,111355,17403
54608,22,658,536,474,22527,184
15262,58,2135,1315,1437,32917,698
53171,4689,72206,581,56688,301717,15518
10651,115,4152,1370,2921,52404,1231
1455,59,2144,1458,1537,20232,607
9333,299,12092,1378,6923,61744,5169
37929,38,705,872,574,12661,131
22993,178,5343,1185,3900,27047,1443
33024,32,888,988,625,23458,263
35728,87,1993,930,1492,15559,501
33602,3610,102495,977,74573,408940,27922
9315,173,3420,1378,2433,34475,987
927,2,161,1462,126,19516,35
65038,37,410,212,308,6005,102
32325,1,98,1001,73,4686,25
491,5,398,1466,253,27500,145
48429,4,223,721,170,12158,53
28767,5,277,1065,180,3587,97
43119,163,2957,784,2427,27049,530
28443,104,3047,1071,1837,13329,1210
9519,12,750,1377,487,7271,263
49241,218,5358,694,4249,30685,1109
68980,10,65,92,48,2904,17
60449,50,369,355,254,4445,115
51963,8,145,622,116,6230,29
22222,118,2772,1198,1819,17355,953
