Tag_Tuple,Tag1_Count,Tag2_Count,Co-Occurency_Count,P1,P2,P12,P1*P2-P12,|d|/std1,|d|/std2,|d|/std1+std2
"('Audio - Sound FX', 'Clothing')",23,109,5,0.003148,0.014919,0.000684,-0.000637034988,0.9720092898533729,0.4491560889143389,0.4077298297903736
"('Companions', 'Companion - Justice')",259,12,4,0.03545,0.001642,0.000547,-0.0004887911,0.22593974334551434,1.0318899815019682,0.22071098789591337
"('Companion - Sten', 'Italian')",44,21,1,0.006022,0.002874,0.000137,-0.000119692772,0.13223578488733242,0.19111261578594058,0.10874265185989172
"('German', 'Clothing')",44,109,4,0.006022,0.014919,0.000547,-0.00045715778199999994,0.5050649016644214,0.32232955057073553,0.27171149692384616
"('Audio - Music', 'Locations - World Map')",11,18,1,0.001506,0.002464,0.000137,-0.000133289216,0.29379853894323865,0.22980009650341712,0.1810073501293675
"('Companion - Nathaniel', 'Companion - Morrigan')",11,102,5,0.001506,0.013961,0.000684,-0.0006629747340000001,1.4613410900810033,0.48298261863896164,0.4585849714472505
"('Companion - Wynne', 'Environment - Other')",46,18,1,0.006296,0.002464,0.000137,-0.000121486656,0.1312827100583936,0.2094516429046851,0.11123781007045802
"('Video', 'Books')",44,16,3,0.006022,0.00219,0.000411,-0.00039781182,0.439499874354637,0.727397046689384,0.3761677173276515
"('For DAO', 'Lore-Friendly')",213,295,88,0.029154,0.040378,0.012045,-0.010867819788,5.521511927645342,4.719106324577074,3.5873808921827166
"('Related to Movies/TV/Other Games', 'Singleplayer Campaign')",59,183,12,0.008076,0.025048,0.001642,-0.001439712352,1.3749224723830704,0.7874761694435755,0.6833337599946785
"('Companion - Zevran', 'Creatures')",82,41,3,0.011224,0.005612,0.000411,-0.00034801091200000004,0.28236437889341154,0.398195114219307,0.2303317704022166
"('Face models', 'English')",417,509,93,0.057076,0.069669,0.012729,-0.008752572156000001,3.224856722834032,2.9385764851055325,2.1720596655078137
"('Companions', 'New Lands')",259,22,7,0.03545,0.003011,0.000958,-0.00085126005,0.39348809177845034,1.3280105497429988,0.3772753701373386
"('Quests', 'Polish')",59,26,1,0.008076,0.003559,0.000137,-0.000108257516,0.10338571544933844,0.15538464622620976,0.0860742476993794
"('Body models', 'German')",30,44,1,0.004106,0.006022,0.000137,-0.000112273668,0.15007270646755735,0.12403920773227459,0.09560880376737074
"('Compilation', 'Russian')",6,32,3,0.000821,0.00438,0.000411,-0.00040740402,1.2158273721429684,0.5273285471088767,0.4837850179708007
"('Related to Movies/TV/Other Games', 'Weapons')",59,227,12,0.008076,0.03107,0.001642,-0.00139107868,1.3284774110106252,0.6852904828943447,0.6090333822189797
"('Companion Friendly', 'Creatures')",61,41,2,0.008349,0.005612,0.000274,-0.00022714541199999997,0.21337677430964552,0.2599004518448304,0.16491696234452105
"('Companion - Velanna', 'Companion - New - Male')",13,35,1,0.001779,0.004791,0.000137,-0.000128476811,0.26059330689038956,0.15903559911384527,0.13575219787642487
"('For DAO', 'Video')",213,44,8,0.029154,0.006022,0.001095,-0.0009194346120000001,0.46712857554497833,1.0157852937886673,0.4244028918811458
"('Companion - Shale', 'Polish')",10,26,2,0.001369,0.003559,0.000274,-0.000269127729,0.6221484662046493,0.38628557633197724,0.3281743219107349
"('Items - Clutter', 'NPCs')",20,150,3,0.002737,0.020531,0.000411,-0.00035480665300000004,0.5804827744432522,0.21386080121750675,0.20067495360167162
"('For DAO', 'Companion - Zevran')",213,82,21,0.029154,0.011224,0.002874,-0.002546775504,1.2939164981276168,2.066368204477206,1.096657467578025
"('French', 'Clothing')",21,109,1,0.002874,0.014919,0.000137,-9.4122794e-05,0.15028520992413172,0.0663634287395373,0.060707959497912856
"('For female characters', 'French')",271,21,5,0.037093,0.002874,0.000684,-0.000577394718,0.26114065487057986,0.9219221265755756,0.2512554502465818
"('Locations - Buildings', 'Plants / Foliage')",27,3,2,0.003696,0.000411,0.000274,-0.000272480944,0.38380802482310056,1.1490642793919525,0.3640374325748477
"('Related to Movies/TV/Other Games', 'Not Lore-Friendly')",59,24,1,0.008076,0.003285,0.000137,-0.00011047033999999999,0.10549895802922053,0.1650183880775316,0.08888633367127494
"('Companion - Mhairi', 'Companion - Zevran')",7,82,2,0.000958,0.011224,0.000274,-0.000263247408,0.7273263301410836,0.21359011540195752,0.20493609465494458
"('Skills', 'NPC Vendors')",54,43,4,0.007391,0.005886,0.000547,-0.000503496574,0.5024532367646607,0.5626108843773729,0.3747583870787811
"('English', 'Armor - Shields')",509,79,42,0.069669,0.010813,0.005749,-0.0049956691029999995,1.6772390437684779,4.1287748132138375,1.553915853573405
"('Companion - Shale', 'Magic - Enchantments')",10,19,1,0.001369,0.002601,0.000137,-0.000133439231,0.308474393205978,0.22393332267098215,0.18121793342312226
"('Related to Movies/TV/Other Games', 'Companion - Leliana')",59,117,4,0.008076,0.016014,0.000547,-0.0004176709359999999,0.3988749246819486,0.28440008228038993,0.23156597925533048
"('Companion - Wynne', 'Items - Ingredients')",46,7,1,0.006296,0.000958,0.000137,-0.000130968432,0.14152904731412178,0.36185271389601703,0.13180599720240577
"('Companion - Dog', 'Companion - Leliana')",21,117,8,0.002874,0.016014,0.001095,-0.0010489757640000002,1.674892299712931,0.7142675438439772,0.657017689420887
"('Companion - Mhairi', 'Utilities for Players')",7,77,1,0.000958,0.010539,0.000137,-0.00012690363799999999,0.35062209352539025,0.10622209521540478,0.10165931181186635
"('Face models', 'Locations - Buildings')",417,27,3,0.057076,0.003696,0.000411,-0.000200047104,0.07370670435154751,0.28178001268896585,0.07130757226946965
