Mod,likes,downloads,time,unique_dl,views,dl_dif
9235,16,324,1512,250,15122,74
35884,10,440,1059,351,9061,89
50775,8,278,788,215,7409,63
1708,3,190,1589,107,20628,83
53038,40,641,719,522,12628,119
14236,5,361,1462,273,10767,88
54698,0,258,666,214,5647,44
68090,502,11410,191,10453,154622,957
56001,5,51,628,43,5231,8
19725,12,822,1372,579,26600,243
39745,154,2838,971,2400,29204,438
25962,76,1636,1257,1289,32010,347
38420,37,942,991,778,14628,164
20564,1079,30419,1358,12474,139420,17945
26014,111,2444,1255,1666,25240,778
6857,5,123,1532,80,12687,43
27452,309,9717,1224,4764,57459,4953
23274,13,352,1313,293,24127,59
14003,263,5204,1465,3232,84734,1972
28310,11,356,1206,232,20538,124
5773,370,13147,1546,5995,73977,7152
58734,20,384,546,333,10042,51
59499,159,2760,521,2199,33037,561
25344,373,10627,1270,7394,34374,3233
36930,37,944,1032,698,26642,246
8987,1709,56112,1513,29175,158687,26937
8812,77,3866,1513,2018,56249,1848
46873,2740,75266,874,34228,254934,41038
13802,68,3122,1468,1597,30786,1525
31195,543,10066,1151,5240,30886,4826
51720,3,45,762,40,9949,5
5331,180,8771,1551,4640,104212,4131
65510,121,1248,335,1153,20555,95
20761,31,1604,1354,983,17102,621
66171,58,1988,316,1446,22807,542
12585,618,23177,1485,12900,93948,10277
19180,4448,114434,1382,65060,465278,49374
41637,613,13625,941,8824,74987,4801
55824,72,1049,633,830,142015,219
15646,164,4178,1443,2908,32759,1270
15462,12,398,1445,283,14682,115
55164,26,173,651,143,8207,30
63817,50,699,384,664,9949,35
34981,4358,81874,1080,51066,288414,30808
15828,22,770,1440,433,28747,337
42168,5,48,933,45,2840,3
55854,8,154,632,108,7411,46
2974,852,53894,1578,20190,287823,33704
26501,1228,28489,1245,19136,121303,9353
39790,1056,15150,970,11162,48656,3988
48000,99,1879,860,1431,32991,448
47371,33,732,867,447,20306,285
11578,52,1056,1496,635,15163,421
24780,149,2014,1282,1343,21709,671
17946,164,2990,1403,2319,39727,671
30603,143,1008,1161,835,14325,173
47153,37,487,871,454,34590,33
62200,19,203,427,172,6213,31
9640,16,740,1510,106,10850,634
3836,319,16780,1570,11341,200869,5439
15389,7258,206045,1447,114546,743264,91499
56763,14,269,605,214,11537,55
61371,5,91,454,63,4863,28
12292,40,1227,1489,688,27579,539
39030,149,3302,980,2000,24307,1302
42847,48,629,921,429,9843,200
1480,16,531,1591,418,8881,113
31325,2518,61389,1149,27811,241715,33578
49739,17,266,814,254,6279,12
53148,3588,69654,715,49830,333263,19824
37838,2,88,1007,51,9753,37
1477,1,52,1591,38,3796,14
32060,6923,141769,1116,65118,319565,76651
63635,1642,29944,389,27888,217913,2056
31565,21,932,1146,680,12399,252
52520,123,1591,733,1285,91678,306
9507,5,199,1510,122,14734,77
61516,22,338,450,335,13713,3
15342,31,1359,1447,919,21601,440
35050,835,14735,1078,10784,111878,3951
34083,1093,16734,1101,13212,177279,3522
21558,60,2192,1339,1483,31839,709
65343,9,92,339,87,5876,5
162,147,4914,1602,3265,57809,1649
