Mod,likes,downloads,time,unique_dl,views,dl_dif
3287,172,3726,1562,2405,50904,1321
1172,126,3010,2125,1966,22108,1044
2053,160,3012,1855,1782,35601,1230
661,462,10538,2221,7894,113248,2644
1792,125,3045,1965,1965,37194,1080
1361,2582,48558,2081,31798,146322,16760
786,114,3734,2193,2528,56106,1206
1828,128,4161,1957,2959,73738,1202
2078,554,10491,1843,6531,88815,3960
2016,5,293,1873,201,15424,92
4206,138,2208,520,1680,24793,528
3628,32,522,1191,356,11152,166
1086,132,4720,2140,3478,46064,1242
119,308,5404,2286,3435,142071,1969
3741,176,1568,1026,1226,23720,342
3477,135,1851,1375,1472,18630,379
663,20,1085,2221,864,18817,221
1570,52,2840,2025,1748,58276,1092
4351,21,412,208,339,7959,73
331,176,2160,2265,1245,71968,915
3425,282,3170,1417,2128,39797,1042
3584,26,491,1272,397,17473,94
1227,105,3833,2111,2618,72126,1215
943,22,901,2160,549,23717,352
3810,45,854,959,683,10504,171
114,302,6163,2286,3404,92785,2759
1038,60,1999,2148,1409,18440,590
3883,46,1188,899,786,44495,402
122,2136,37753,2286,28704,445598,9049
2824,4,204,1746,151,11676,53
288,19,314,2270,220,21742,94
3427,124,1963,1416,1423,29768,540
298,418,4483,2268,3728,182945,755
4182,373,5975,566,4568,25138,1407
439,116,4194,2254,3223,50209,971
761,17,532,2202,417,14199,115
828,122,8101,2183,6368,76943,1733
3761,23,308,1019,236,9196,72
1253,258,22768,2105,16306,88098,6462
1031,64,1791,2149,1240,24913,551
3858,165,1922,917,1205,20129,717
434,37,3218,2254,2580,69043,638
1815,59,2893,1961,1938,61675,955
282,43,599,2271,362,33284,237
2036,40,1013,1867,780,13638,233
1058,1542,61903,2145,42148,441853,19755
613,168,6512,2227,4703,89630,1809
1435,4991,173476,2056,107059,346856,66417
356,32,322,2262,242,52203,80
1856,44,1052,1944,749,16953,303
3482,25,560,1369,405,29108,155
1424,11,1191,2059,889,20342,302
1146,64,3104,2128,2163,30009,941
4028,65,1289,753,938,23431,351
692,94,3125,2216,2407,67730,718
1045,162,7506,2147,5212,44998,2294
1034,48,1971,2148,1321,44704,650
3844,12,139,929,106,8008,33
4143,243,2690,618,2185,49480,505
39,13,119,2291,79,37491,40
3653,1594,41819,1153,29929,241566,11890
394,289,3801,2258,2977,150202,824
3743,7,124,1025,82,5342,42
438,28,1277,2254,927,34535,350
3529,80,1703,1323,1342,19833,361
2091,398,19293,1837,11487,120006,7806
4346,38,399,227,336,7112,63
496,113,4101,2244,3338,99773,763
3804,929,13073,974,9801,67442,3272
3348,329,7350,1490,5385,138870,1965
1365,200,8131,2078,5769,131337,2362
1216,42,2053,2114,1414,19548,639
100,29,258,2287,175,55650,83
128,30,714,2286,447,32261,267
952,422,7829,2159,5491,89831,2338
348,314,4377,2262,2947,64553,1430
361,134,3902,2261,2528,70825,1374
782,5,394,2195,303,22955,91
1613,289,8473,2013,5764,36175,2709
1182,4,211,2122,172,12484,39
939,2081,45134,2161,34760,140605,10374
